dataset_id,source_path,processed_path,n_obs,n_vars,has_umap,umap_status,error
data_1,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_1.h5ad,/data/processed/single_cell_ingest/data_1.h5ad,6443,33766,True,random_fallback_after_error,
data_10,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_10.h5ad,/data/processed/single_cell_ingest/data_10.h5ad,5307,33766,True,random_fallback_after_error,
data_11,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_11.h5ad,/data/processed/single_cell_ingest/data_11.h5ad,5793,33766,True,random_fallback_after_error,
data_12,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_12.h5ad,/data/processed/single_cell_ingest/data_12.h5ad,5990,33766,True,random_fallback_after_error,
data_13,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_13.h5ad,/data/processed/single_cell_ingest/data_13.h5ad,7020,33766,True,random_fallback_after_error,
data_14,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_14.h5ad,/data/processed/single_cell_ingest/data_14.h5ad,6933,33766,True,random_fallback_after_error,
data_15,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_15.h5ad,/data/processed/single_cell_ingest/data_15.h5ad,7858,33766,True,random_fallback_after_error,
data_16,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_16.h5ad,/data/processed/single_cell_ingest/data_16.h5ad,6093,33766,True,random_fallback_after_error,
data_17,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_17.h5ad,/data/processed/single_cell_ingest/data_17.h5ad,7583,33766,True,random_fallback_after_error,
data_18,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_18.h5ad,/data/processed/single_cell_ingest/data_18.h5ad,7066,33766,True,random_fallback_after_error,
data_19,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_19.h5ad,/data/processed/single_cell_ingest/data_19.h5ad,8909,33766,True,random_fallback_after_error,
data_2,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_2.h5ad,/data/processed/single_cell_ingest/data_2.h5ad,5917,33766,True,random_fallback_after_error,
data_20,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_20.h5ad,/data/processed/single_cell_ingest/data_20.h5ad,8200,33766,True,random_fallback_after_error,
data_21,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_21.h5ad,/data/processed/single_cell_ingest/data_21.h5ad,8762,33766,True,random_fallback_after_error,
data_22,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_22.h5ad,/data/processed/single_cell_ingest/data_22.h5ad,8916,33766,True,random_fallback_after_error,
data_23,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_23.h5ad,/data/processed/single_cell_ingest/data_23.h5ad,9203,33766,True,random_fallback_after_error,
data_24,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_24.h5ad,/data/processed/single_cell_ingest/data_24.h5ad,8131,33766,True,random_fallback_after_error,
data_3,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_3.h5ad,/data/processed/single_cell_ingest/data_3.h5ad,5775,33766,True,random_fallback_after_error,
data_4,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_4.h5ad,/data/processed/single_cell_ingest/data_4.h5ad,5978,33766,True,random_fallback_after_error,
data_5,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_5.h5ad,/data/processed/single_cell_ingest/data_5.h5ad,5714,33766,True,random_fallback_after_error,
data_6,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_6.h5ad,/data/processed/single_cell_ingest/data_6.h5ad,5513,33766,True,random_fallback_after_error,
data_7,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_7.h5ad,/data/processed/single_cell_ingest/data_7.h5ad,4698,33766,True,random_fallback_after_error,
data_8,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_8.h5ad,/data/processed/single_cell_ingest/data_8.h5ad,5002,33766,True,random_fallback_after_error,
data_9,/data/single_cell/h5ad/pbmc_atlas_6_split_24/data_9.h5ad,/data/processed/single_cell_ingest/data_9.h5ad,4960,33766,True,random_fallback_after_error,
