local_path,selected,downloaded,preprocessed,ingested,person_id,selected_sample_id,n_obs_before,n_obs_after,n_unique_sample_ids_before,sample_counts_before,error,processed_path
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_1.h5ad,True,True,True,True,H00064,H00064-Ha001E-PBGa,7362,7362,1,{'H00064-Ha001E-PBGa': 7362},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_1.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_10.h5ad,True,True,True,True,G05078,G05078-Ja005E-PBCa,9226,9226,1,{'G05078-Ja005E-PBCa': 9226},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_10.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_11.h5ad,True,True,True,True,N00017,N00017-Ja003E-PBGa,1699,1699,1,{'N00017-Ja003E-PBGa': 1699},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_11.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_12.h5ad,True,True,True,True,S00113,S00113-Ja005E-PBCa,5973,5973,1,{'S00113-Ja005E-PBCa': 5973},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_12.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_13.h5ad,True,True,True,True,N00049,N00049-Ja005E-PBGa,3558,3558,1,{'N00049-Ja005E-PBGa': 3558},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_13.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_14.h5ad,True,True,True,True,S00097,S00097-Ja003E-PBCa,5967,5967,1,{'S00097-Ja003E-PBCa': 5967},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_14.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_15.h5ad,True,True,True,True,H00067,H00067-Ha001E-PBGa,10439,10439,1,{'H00067-Ha001E-PBGa': 10439},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_15.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_16.h5ad,True,True,True,True,S00060,S00060-Ja005E-PBCa,5368,5368,1,{'S00060-Ja005E-PBCa': 5368},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_16.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_17.h5ad,True,True,True,True,G05153,G05153-Ja005E-PBCa,7929,7929,1,{'G05153-Ja005E-PBCa': 7929},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_17.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_18.h5ad,True,True,True,True,S00112,S00112-Ja003E-PBCa,7260,7260,1,{'S00112-Ja003E-PBCa': 7260},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_18.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_19.h5ad,True,True,True,True,G05164,G05164-Ja005E-PBCa,6537,6537,1,{'G05164-Ja005E-PBCa': 6537},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_19.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_2.h5ad,True,True,True,True,N00044,N00044-Ja001E-PBGa,3535,3535,1,{'N00044-Ja001E-PBGa': 3535},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_2.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_20.h5ad,True,True,True,True,U00504,U00504-Ua005E-PBUa,159,159,1,{'U00504-Ua005E-PBUa': 159},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_20.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_3.h5ad,True,True,True,True,N00032,N00032-Ja001E-PBGa,10142,10142,1,{'N00032-Ja001E-PBGa': 10142},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_3.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_4.h5ad,True,True,True,True,S00059,S00059-Ja001E-PBCa,5299,5299,1,{'S00059-Ja001E-PBCa': 5299},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_4.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_5.h5ad,True,True,True,True,S00020,S00020-Ja003E-PBCa,3254,3254,1,{'S00020-Ja003E-PBCa': 3254},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_5.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_6.h5ad,True,True,True,True,S00081,S00081-Ja001E-PBCa,10685,5671,2,"{'S00081-Ja001E-PBCa': 5671, 'S00081-Ja005E-PBCa': 5014}",,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_6.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_7.h5ad,True,True,True,True,S00028,S00028-Ja001E-PBCa,10278,10278,1,{'S00028-Ja001E-PBCa': 10278},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_7.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_8.h5ad,True,True,True,True,U00619,U00619-Ua005E-PBUa,1975,1975,1,{'U00619-Ua005E-PBUa': 1975},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_8.h5ad
data/raw/single_cell/pbmc_atlas_1_combat20_one_sample/data_9.h5ad,True,True,True,True,U00617,U00617-Ua005E-PBUa,1121,1121,1,{'U00617-Ua005E-PBUa': 1121},,data/single_cell/processed_ingest_v3/pbmc_atlas_1_combat20_one_sample__data_9.h5ad
